Id,Label,Cluster
120,"Men's Hydropeak Boardshorts - 18""",5
121,"Men's Hydropeak Boardshorts - 21""",5
122,"Men's Hydropeak Hybrid Walk Shorts - 18""",5
123,"Men's Hydropeak Side Shore Boardshorts - 18""",5
124,"Men's Hydropeak Volley Shorts - 16""",5
125,Men's Insulated Powder Town Jacket,0
126,Men's Insulated Powder Town Pants - Regular,0
127,Men's Insulated Powder Town Pants - Short,0
128,Men's Insulated Storm Shift Jacket,0
129,Men's Insulated Storm Shift Pants,0
130,Men's Iron Forge® Fleece-Lined 5-Pocket Work Pants - Regular,4
131,Men's Iron Forge® Fleece-Lined 5-Pocket Work Pants - Short,4
132,Men's Iron Forge® Bib Work Overalls - Regular,4
133,Men's Iron Forge® Bib Work Overalls - Short,4
134,Men's Iron Forge® Canvas Chore Coat,4
135,Men's Iron Forge® Double Knee Work Pants - Short,4
136,Men's Iron Forge® Insulated Work Overalls - Regular,4
137,Men's Isthmus Deck Jacket,2
138,Men's Isthmus Parka,2
139,Men's Jackson Glacier Rain Jacket,0
140,Men's Jackson Glacier Jacket,2
141,Men's Jackson Glacier Parka,2
142,"Men's Landfarer Bike Shorts - 13""",2
143,Men's Light Gust Jacket,0
144,Men's Light Gust Shirt Jacket,0
145,Men's Light Gust Vest,0
146,Men's Daily Pocket Tee,4
147,Men's Lightweight Insulated Fjord Flannel Shirt,4
148,Men's Lightweight Stormshadow Jacket,0
149,Men's Lightweight Synchilla® Snap-T® Fleece Pullover,2
150,Men's Lightweight Unity Fitz Wildrise Crewneck,4
151,Men's Long-Sleeved Berm Logo Responsibili-Tee®,3
152,Men's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Lands,2
153,Men's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Waters,2
154,Men's Long-Sleeved Capilene® Cool Daily Graphic Shirt,2
155,Men's Long-Sleeved Capilene® Cool Merino Blend Graphic Shirt,6
156,Men's Long-Sleeved Capilene® Cool Merino Blend Shirt,6
157,Men's Long-Sleeved Chouinard® Crest Responsibili-Tee®,3
158,Men's Long-Sleeved Dirt Craft Bike Jersey,5
159,Men's Long-Sleeved Driftways Organic Shirt,3
160,Men's Long-Sleeved Early Rise Snap Shirt,2
161,Men's Long-Sleeved Essential Tee,4
162,Men's Long-Sleeved Home Water Trout Responsibili-Tee®,3
163,Men's Long-Sleeved Lightweight Fjord Flannel Shirt,4
164,Men's Long-Sleeved P-6 Logo Responsibili-Tee®,3
165,Men's Long-Sleeved RØ™ Surf Top,5
166,Men's Long-Sleeved Self-Guided Sun Shirt,5
167,Men's Long-Sleeved Shop Sticker Pocket Responsibili-Tee®,3
168,Men's Long-Sleeved Strataspire Responsibili-Tee®,3
169,Men's M10™ Storm Jacket,0
170,Men's M10™ Storm Pants,0
171,Men's M10™ Anorak,0
172,Men's Merino Blend 3/4-Sleeved Bike Jersey,6
173,Men's Micro D™ Fleece Crewneck,5
174,Men's Micro D™ Fleece Jacket,5
175,Men's Micro D™ Fleece Shirt,5
176,Men's Micro D™ Fleece Pullover,5
177,Men's Micro Puff® Hoody,6
178,Men's Micro Puff® Jacket,6
179,Men's Microdini 1/2-Zip Fleece Pullover,5
180,Men's Mixed Alpine Pants,0
181,"Men's Multi Trails Shorts - 8""",5
182,Men's Nano-Air® Light Hybrid Hoody,6
183,Men's Nano-Air® Light Hybrid Jacket,6
184,Men's Nano-Air® Light Bottoms,5
185,Men's Nano-Air® Light Vest,6
186,Men's Nano-Air® Ultralight Freeride Jacket,5
187,Men's Nano-Air® Ultralight Full-Zip Hoody,6
188,Men's Nano-Air® Ultralight Pullover,6
189,Men's Nano Puff® Fitz Roy Trout Hoody,6
190,Men's Nano Puff® Hoody,6
191,Men's Nano Puff® Jacket,6
192,Men's Nano Puff® Vest,6
193,Men's Nether Bike Shorts,2
194,Men's Nomader Jacket,4
195,Men's Nomader Shirt,4
196,Men's Nomader Shorts,4
197,Men's Nomader Joggers,4
198,Men's Nomader Volley Shorts,4
199,Men's Organic Cotton Corduroy Jeans - Regular,4
200,Men's Outdoor Everyday Marsupial Pullover,2
201,Men's Outdoor Everyday Pants,2
202,Men's P-6 Logo Responsibili-Tee®,3
203,"Men's Peak Mission Tights - 28""",5
204,Men's Pluma PRO Bibs,0
205,Men's Pluma PRO Jacket,0
206,Men's Point Reyes Canvas Gi Pants,4
207,Men's Point Reyes Canvas Jacket,4
208,Men's Point Reyes Canvas Shirt,4
209,Men's Powder Town Jacket,0
210,Men's Powder Town Pants - Regular,0
211,Men's Powder Town Pants - Short,0
212,Men's PowSlayer Jacket,0
213,Men's PowSlayer Pants,0
214,Men's Quandary Convertible Pants,2
215,Men's Quandary Joggers,2
216,Men's Quandary Pants - Regular,2
217,Men's Quandary Pants - Short,2
218,"Men's Quandary Shorts - 10""",2
219,Men's RØ™ Surf Top,5
220,Men's R1® Air Fleece Crewneck,5
221,Men's R1® Air Fleece Full-Zip Hoody,5
222,Men's R1® Air Fleece Jacket,5
223,Men's R1® Air Fleece Vest,5
224,Men's R1® Air Fleece Zip-Neck,5
225,Men's R1® Fleece Jacket,5
226,Men's R1® Fleece Pullover Hoody,5
227,Men's R1® Fleece Pullover,5
228,Men's R1® Fleece Vest,5
229,Men's R1® Fleece Pants,5
230,Men's R1® Lite Yulex® Short John Wetsuit,1
231,Men's R1® TechFace Fitz Roy Trout Hoody,5
232,Men's R1® TechFace Hoody,5
233,Men's R1® TechFace Jacket,5
234,Men's R1® Thermal Bottoms,5
235,Men's R1® Thermal Full-Zip Hoody,5
236,Men's R1® Thermal Jacket,5
237,Men's R1® Yulex® Impact Front-Zip Spring Suit,1
238,Men's R1® Yulex® Regulator® Back-Zip Full Wetsuit,1
239,Men's R1® Yulex® Regulator® Front-Zip Full Wetsuit,1
240,Men's R2® TechFace Pants,5
241,Men's R2® TechFace Hoody,5
242,Men's R2® TechFace Jacket,5
243,Men's R2® TechFace Pullover,5
244,Men's R2® Yulex® Regulator® Back-Zip Full Wetsuit,1
245,Men's R2® Yulex® Regulator® Front-Zip Full Wetsuit,1
246,Men's R3® Yulex® Regulator® Back-Zip Full Wetsuit,1
247,Men's R3® Yulex® Regulator® Front-Zip Full Wetsuit,1
248,Men's R3® Yulex® Regulator® Front-Zip Hooded Full Wetsuit,1
249,Men's R4® Yulex® Regulator® Front-Zip Hooded Full Wetsuit,1
250,Men's R5® Yulex® Regulator® Front-Zip Hooded Full Wetsuit,1
251,Men's Reclaimed Fleece Cardigan,5
252,Men's Reclaimed Fleece Hoody,5
253,Men's Reclaimed Fleece Jacket,5
254,Men's Recycled Wool-Blend Sweater,5
255,Men's Retro Pile Fleece Jacket,5
256,Men's Retro Pile Fleece Vest,5
257,Men's Retro Pile Half-Snap Fleece Pullover,5
258,Men's Retro-X® Fleece Hoody Jacket,5
259,Men's Reversible Down Better Sweater™,2
260,Men's Reversible Silent Down Jacket,2
261,Men's Shelled Insulator Pants,5
262,Men's Shop Sticker Pocket Responsibili-Tee®,3
263,Men's SnowDrifter Bibs,0
264,Men's SnowDrifter Jacket,0
265,Men's Storm Racer Jacket,0
266,Men's Storm Shift Jacket,0
267,Men's Storm Shift Pants - Regular,0
268,Men's Storm Shift Pants - Short,0
269,Men's Stormshadow Parka,0
270,Men's Stormstride Jacket,0
271,Men's Stormstride Pants,0
272,Men's Straight Fit Jeans - Regular,4
273,Men's Strataspire Responsibili-Tee®,3
274,"Men's Strider Pro Shorts - 5""",5
275,"Men's Strider Pro Shorts - 7""",5
276,Men's Super Free Alpine Jacket,0
277,Men's Swiftcurrent® Expedition Waders,5
278,Men's Swiftcurrent® Expedition Zip-Front Waders,5
279,Men's Swiftcurrent® Traverse Zip-Front Waders,5
280,Men's Swiftcurrent® Wading Jacket,2
281,Men's Synchilla® Fleece Jacket,2
282,Men's Synchilla® Fleece Pants,2
283,Men's Synchilla® Fleece Vest,2
284,Men's Take a Stand Responsibili-Tee®,3
285,Men's Terravia Alpine Pants - Short,5
286,Men's Terravia Peak Pants - Regular,5
287,Men's Terravia Peak Pants - Short,5
288,"Men's Terrebonne Shorts - 10""",5
289,Men's Terrebonne Trail Joggers,5
290,Men's Torrentshell 3L Rain Jacket,0
291,Men's Torrentshell 3L Rain Pants - Regular,0
292,Men's Torrentshell 3L Rain Pants - Short,0
293,Men's Trail Craft Bike Jacket,5
294,Men's Trail Craft Bike Vest,5
295,"Men's Trailfarer Running Shorts - 6""",5
296,Men's Tres 3-in-1 Parka,2
297,Men's Triolet Jacket,0
298,Men's Triolet Pants,0
299,Men's Tropic Comfort Natural Sun Crewneck,5
300,Men's Tropic Comfort Natural Graphic Sun Hoody,5
301,Men's Tropic Comfort Natural Sun Hoody,5
302,Men's Twill Traveler 5-Pocket Pants - Long,4
303,Men's Twill Traveler 5-Pocket Pants - Regular,4
304,Men's Twill Traveler Chino Pants - Regular,4
305,Men's Unity Fitz Responsibili-Tee®,3
306,Men's Untracked Bibs,0
307,Men's Untracked Jacket,0
308,Men's Untracked Pants,0
309,Men's Upstride Jacket,0
310,Men's Upstride Pants,0
311,Men's Venga Rock Pants - Regular,4
312,Men's Venga Rock Pants - Short,4
313,Men's Venga Rock Shorts,4
314,"Men's Wavefarer® Boardshorts - 19""",2
315,"Men's Wavefarer® Hybrid Walk Shorts - 18""",2
316,Men's Wind Shield Jacket,5
317,Men's Wind Shield Pants,5
318,Men's Windshadow Jacket,0
319,Men's Windshadow Parka,0
320,Men's Yulex® Impact Short John Wetsuit,1
321,Men's Yulex® Impact Wetsuit Vest,1
322,Men's Yulex® Regulator® Lite Front-Zip Full Wetsuit,1
323,Men's Yulex® Regulator® Lite Front-Zip Long-Sleeved Spring Suit,1
324,Men's Yulex® Regulator® Lite Front-Zip Long-Sleeved Wetsuit Top,1
325,Men's Yulex® Regulator® Lite Front-Zip Short-Sleeved Full Wetsuit,1
326,Men's Yulex® Regulator® Lite Long-Sleeved Wetsuit Top,1
327,Men's Yulex® Regulator® Lite Short John Wetsuit,1
328,Men's Yulex® Regulator® Lite Wetsuit Vest,1
329,Merino Wool-Blend Crew Socks,6
330,Micro D™ Fleece Gaiter,5
331,MiiR® Fitz Etch 23-oz Double Walled Insulated Water Bottle,5
332,MiiR® Geologers 12oz Insulated Camp Cup,5
333,Mountain Ski Pant Suspenders,5
334,Nano Puff™ Mitts,6
335,Natural Blend Retro Cardigan,5
336,P-6 Label Maclure Hat,4
337,P-6 Label Trad Cap,4
338,P-6 Logo LoPro Trucker Hat,4
339,P-6 Logo Trucker Hat,4
340,P-6 Logo Uprisal Hoody,3
341,Powder Town Beanie,5
342,Powder Town Headband,5
343,PowSlayer Backpack 38L,5
344,PowSlayer Beanie,5
345,R1® Air Beanie,5
346,R1® Daily Beanie,5
347,R1® Daily Gloves,5
348,R2® Yulex® Regulator® Split Toe Wetsuit Booties,1
349,R2® Yulex® Regulator® Wetsuit Gloves,1
350,R3® Yulex® Regulator® Split Toe Wetsuit Booties,1
351,R3® Yulex® Regulator® Wetsuit Gloves,1
352,R4® Yulex® Regulator® Round Toe Wetsuit Booties,1
353,R4® Yulex® Regulator® Three-Finger Wetsuit Mitts,1
354,R5® Yulex® Regulator® Round Toe Wetsuit Booties,1
355,R5® Yulex® Regulator® Wetsuit Mitts,1
356,Recycled Wool-Blend Rugby Sweater,5
357,Refugio Daypack 26L,5
358,Refugio Daypack 30L,5
359,River Salt Wading Boots,5
360,Secure Stretch Wading Belt,5
361,Snow Roller Bag 112L,5
362,SnowDrifter Pack 20L,5
363,SnowDrifter Beanie,5
364,Snowfarer Cap,2
365,Stand Up™ Trout Trucker Hat,4
366,Stealth Pack Fishing Vest,5
367,Stealth Switch Fishing Pack 9L,5
368,Strataspire Uprisal Hoody,3
369,Sun Gloves,5
370,Sun Mask,5
371,Patagonia® Brimmer Hat,2
372,"Surf Is Where You Find It: The Wisdom of the Waves: Any Time, Anywhere, Any Way (By Gerry Lopez)",5
373,Swiftcurrent® Ultralight Waders,0
374,Synchilla® Fleece Gloves,5
375,Take a Stand Trucker Hat,4
376,Tech Web Belt,5
377,Terravia Pack 28L,5
378,Terrebonne Hat,5
379,Terrebonne Visor,5
380,Unity Fitz Uprisal Hoody,3
381,Wader Repair Kit,5
382,Wading Support Belt,5
383,Wavefarer™ Bucket Hat,2
384,Winter Duckbill Running Cap,5
385,Women's Capilene® Thermal Weight Crewneck,5
386,Yulex® Regulator® Hooded Wetsuit Vest,1
387,Yulex® Regulator® Insertable Wetsuit Hood,1
388,Yulex® Regulator® Wetsuit Cap,1
389,Yulex® Wading Socks with Gravel Guard,1
390,Yulex® Wading Socks,1
391,Grade VII Down Parka,6
392,Ascensionist Climbing Pack 35L,5
393,Ascensionist Climbing Pack 55L,5
394,Cragsmith Pack 32L,5
395,Cragsmith Pack 45L,5
396,Fitz Roy Icon Trad Cap,4
397,Flying Fish LoPro Trucker Hat,4
398,Women's Ahnya Full-Zip Hoody,4
399,Women's Ahnya Pullover,4
400,Women's Ahnya Pants,4
401,Women's Airshed Pro Pullover,5
402,Women's All Seasons Bib Work Overalls - Regular,4
403,Women's All Seasons Bib Work Overalls - Short,4
404,Women's All Seasons Bomber Hoody Work Jacket,4
405,Women's All Seasons Double Knee Work Pants - Regular,4
406,Women's All Seasons Double Knee Work Pants - Short,4
407,Women's All Seasons Work Vest,4
408,Women's Alpine Guide Pants - Regular,0
409,Women's Alpine Guide Pants - Short,0
410,Women's Terravia Alpine Pants - Regular,5
411,"Women's Baggies™ Shorts - 5""",2
412,"Women's Barely Baggies™ Shorts - 2½""",2
413,Women's Better Sweater™ Fleece Jacket,5
414,Women's Better Sweater™ Fleece Vest,5
415,Women's Better Sweater™ 1/4-Zip Fleece,5
416,Women's Big Water Foul Weather Bibs,2
417,Women's Big Water Foul Weather Jacket,2
418,Women's Bottom Turn Bikini Top,5
419,Women's Boulder Fork Rain Jacket,0
420,Women's Caliza Rock Pants - Short,4
421,Women's Caliza Rock Pants - Regular,4
422,Women's Cami Bikini Top,5
423,Women's Canyonite Flannel Shirt,5
424,Women's Capilene® Cool Daily Graphic Shirt - Lands,2
425,Women's Capilene® Cool Daily Graphic Shirt - Waters,2
426,Women's Capilene® Cool Daily Graphic Shirt,2
427,Women's Capilene® Cool Daily Shirt,2
428,Women's Capilene® Cool Merino Blend Graphic Shirt,6
429,Women's Capilene® Cool Merino Blend Shirt,6
430,Women's Capilene® Midweight Bottoms,4
431,Women's Capilene® Midweight Crewneck,4
432,Women's Capilene® Midweight Zip-Neck Pullover,4
433,Women's Capilene® Thermal Weight Boot-Length Bottoms,5
434,Women's Capilene® Thermal Weight Bottoms,5
435,Women's Capilene® Thermal Weight Zip-Neck Pullover,5
436,Women's Chambeau Rock Pants,5
437,Women's Cheeky Bikini Bottoms,5
438,Women's Classic Retro-X® Fleece Jacket,2
439,Women's Classic Retro-X® Fleece Vest,2
440,Women's Cord Fjord Jacket,4
441,Women's Corduroy Overshirt Jacket,4
442,Women's Cotton Down Parka,2
443,Women's Cross Shore One-Piece Swimsuit,5
444,Women's Cross Shore Triangle Bikini Top,5
445,Women's Daily Snap-T® Pullover,4
446,Women's DAS® Light Hoody,6
447,Women's DAS® Light Skirt,6
448,Women's Dirt Craft Bike Pants,5
449,"Women's Dirt Craft Bike Shorts - 12½""",5
450,Women's Dirt Roamer Liner Bike Bibs,2
451,Women's Dirt Roamer Bike Jacket,5
452,Women's Dirt Roamer Bike Liner Shorts,5
453,Women's Dirt Roamer Bike Shorts,5
454,Women's Dirt Roamer Storm Bike Jacket,0
455,Women's Dirt Roamer Storm Bike Pants,0
456,Women's Down Sweater™ Hoody,6
457,Women's Down Sweater™ Jacket,6
458,Women's Down Sweater™ Vest,6
459,Women's Downdrift Jacket,2
460,Women's Downdrift Parka,2
461,Women's Downdrift Vest,2
462,Women's Oversized Driftways Organic Shirt,4
463,Women's Endless Run 7/8 Tights,2
464,"Women's Endless Run Shorts - 6""",2
465,Women's Everyday Cord Straight Pants,4
466,Women's Fitz Roy Down Hoody,6
467,Women's Fjord Flannel Shirt,4
468,Women's Fjord Loft Overshirt Jacket,4
469,Women's Fleetwith Jumpsuit,5
470,"Women's Funhoggers™ Shorts - 4""",4
471,Women's Granite Crest Rain Jacket,2
472,Women's Granite Crest Rain Pants,2
473,Women's Hampi Rock Pants - Regular,5
474,Women's Hi-Loft Nano Puff® Hoody,6
475,Women's Houdini Jacket,6
476,Women's Insulated Powder Town Jacket,0
477,Women's Insulated Powder Town Pants - Regular,0
478,Women's Insulated Powder Town Pants - Short,0
479,Women's Insulated Storm Shift Jacket,0
480,Women's Insulated Storm Shift Pants,0
481,Women's Iron Forge® Double Knee Work  Pants - Regular,4
482,Women's Iron Forge® Double Knee Work Pants - Short,4
483,Women's Iron Forge® Canvas Ranch Jacket,4
484,Women's Jackson Glacier Jacket,2
485,Women's Jackson Glacier Parka,2
486,Women's Landfarer Bike Shorts,5
487,Women's Light Gust Hooded Pullover,0
488,Women's Light Gust Hooded Vest,0
489,Women's Lightweight A/C™ Buttondown Shirt,4
490,Women's Lightweight A/C™ Shirt,4
491,Women's Live Simply™ Bra,5
492,Women's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Lands,2
493,Women's Long-Sleeved Capilene® Cool Daily Graphic Shirt - Waters,2
494,Women's Long-Sleeved Capilene® Cool Daily Graphic Shirt,2
495,Women's Long-Sleeved Capilene® Cool Merino Blend Graphic Shirt,6
496,Women's Long-Sleeved Capilene® Cool Merino Blend Shirt,6
497,Women's Long-Sleeved Dirt Craft Bike Jersey,5
498,Women's Long-Sleeved Driftways Easy-Cut Organic Shirt,4
499,Women's Long-Sleeved Mainstay Top,4
500,Women's Long-Sleeved P-6 Logo Responsibili-Tee®,3
501,Women's Long-Sleeved Rugby Top,4
502,Women's Long-Sleeved Self-Guided Sun Shirt,5
503,Women's Lunar Dusk Fleece Hoody,5
504,Women's M10™ Storm Bibs,0
505,Women's M10™ Storm Jacket,0
506,Women's Mainstay Top,4
507,Women's Maipo 7/8 Tights,2
508,Women's Maipo 7/8 Stash Tights,2
509,Women's Maipo Dress,2
510,"Women's Maipo Shorts - 8""",2
511,Women's Maipo Tank Top,2
512,Women's Maipo Low-Impact Adjustable Bra,2
513,Women's Maipo Mid-Impact Bra,2
514,Women's Merino Blend 3/4-Sleeved Bike Jersey,6
515,Women's Micro D™ Fleece Hoody,5
516,Women's Micro D™ 1/2-Zip Fleece Pullover,5
517,Women's Micro Puff® Hoody,6
518,Women's Micro Puff® Jacket,6
519,Women's Mixed Alpine Pants,0
520,"Women's Multi Trails Shorts - 5½""",5
521,Women's Nano-Air® Light Hybrid Hoody,6
522,Women's Nano-Air® Light Bottoms,5
523,Women's Nano-Air® Light Vest,6
524,Women's Nano-Air® Ultralight Freeride Jacket,5
525,Women's Nano-Air® Ultralight Full-Zip Hoody,6
526,Women's Nano-Air® Ultralight Pullover,6
527,Women's Nano Puff® Fitz Roy Trout Hoody,6
528,Women's Nano Puff® Hoody,6
529,Women's Nano Puff® Jacket,6
530,Women's Nano Puff® Vest,6
531,Women's Nether Bike Shorts,2
532,Women's Outdoor Everyday Cargo Pants,2
533,Women's Outdoor Everyday Rain Jacket,2
534,Women's Outdoor Everyday Skort,2
535,Women's P-6 Logo Responsibili-Tee®,3
536,Women's Pack Out Hike Tights,5
537,"Women's Peak Mission Tights - 27""",5
538,Women's Pine Bank 3-in-1 Parka,5
539,Women's Pluma PRO Bibs,0
540,Women's Pluma PRO Jacket,0
541,Women's Point Reyes Canvas Coat,4
542,Women's Point Reyes Canvas Overalls,4
543,Women's Point Reyes Canvas Skirt,4
544,Women's Point Reyes Canvas Wide-Leg Pants,4
545,Women's Powder Town Jacket,0
546,Women's Powder Town Pants,0
547,Women's PowSlayer Jacket,0
548,Women's PowSlayer Pants,0
549,Women's Quandary Pants - Regular,2
550,Women's Quandary Pants - Short,2
551,"Women's Quandary Shorts - 5""",2
552,"Women's Quandary Shorts - 7""",2
553,Women's R1® Air Fleece Full-Zip Hoody,5
554,Women's R1® Air Fleece Jacket,5
555,Women's R1® Air Fleece Vest,5
556,Women's R1® Air Fleece Zip-Neck,5
557,Women's R1® CrossStrata Hoody,5
558,Women's R1® Fleece Jacket,5
559,Women's R1® Fleece Pullover Hoody,5
560,Women's R1® Fleece Pullover,5
561,Women's R1® Fleece Vest,5
562,Women's R1® Fleece Pants,5
563,Women's R1® Thermal Bottoms,5
564,Women's R1® Thermal Full-Zip Hoody,5
565,Women's R1® Thermal Jacket,5
566,Women's R1® Yulex® Regulator® Front-Zip Full Wetsuit,1
567,Women's R2® CrossStrata Pants,5
568,Women's R2® CrossStrata Hoody,5
569,Women's R2® CrossStrata Jacket,5
570,Women's R2® CrossStrata Pullover,5
571,Women's R2® Yulex® Regulator® Front-Zip Full Wetsuit,1
572,Women's R3® Yulex® Regulator® Front-Zip Full Wetsuit,1
573,Women's R4® Yulex® Regulator® Front-Zip Hooded Full Wetsuit,1
574,Women's Recycled Down Sweater™ Parka,2
575,Women's Recycled Wool-Blend Crewneck Sweater,5
576,Women's Recycled Wool-Blend Sweater Jacket,5
577,Women's Recycled Wool-Blend V-Neck Sweater,5
578,Women's Regenerative Organic Certified™ Cotton Essential Hoody,4
579,Women's Regenerative Organic Certified™ Cotton Essential Top,4
580,Women's Retro Pile Fleece Hoody,5
581,Women's Retro Pile Fleece Jacket,5
582,Women's Retro Pile Fleece Marsupial Pullover,5
583,Women's Retro Pile Fleece Shacket,5
584,Women's Retro Pile Fleece Vest,5
585,Women's Reversible Cross Shore Bikini Bottoms,5
586,Women's Reversible Seaglass Bay Bikini Top,5
587,Women's Shadowlite High-Impact Adjustable Bra,2
588,Women's Shadowlite Mid-Impact Adjustable Bra,2
589,Women's Silent Down Jacket,2
590,Women's Silent Down Long Parka,2
591,Women's Sindit Hoody Jacket,2
592,Women's Sindit Vest,2
593,Women's Skysail Jacket,2
594,Women's SnowDrifter Bibs,0
595,Women's SnowDrifter Jacket,0
596,Women's Storm Racer Jacket,0
597,Women's Storm Shift Jacket,0
598,Women's Storm Shift Pants,0
599,Women's Stormshadow Parka,0
600,Women's Stormstride Jacket,0
601,Women's Stormstride Pants,0
602,Women's Stretch Hydropeak Surf Shorts,5
603,"Women's Stretch Planing Micro Shorts - 2""",5
604,"Women's Strider Pro Shorts - 3½""",5
605,Women's Sunamee Bikini Bottoms,5
606,Women's Sunamee Shortie Surf Bottoms,5
607,Women's Sunny Tide One-Piece Swimsuit,5
608,Women's Super Free Alpine Jacket,0
609,Women's Swiftcurrent® Expedition Zip-Front Waders,5
610,Women's Swiftcurrent® Traverse Waders,5
